,precision,recall,f1-score,support
Angry,0.635593220338983,0.9036144578313253,0.746268656716418,498.0
Happy,0.9467455621301775,0.963855421686747,0.9552238805970149,498.0
Sad,0.8008130081300813,0.4236559139784946,0.5541490857946554,465.0
accuracy,0.7713894592744696,0.7713894592744696,0.7713894592744696,0.7713894592744696
macro avg,0.7943839301997473,0.763708597832189,0.7518805410360295,1461.0
weighted avg,0.7942387148871524,0.7713894592744696,0.7563467546041097,1461.0
